Issue ID,K_true,K_pred,Precision,Recall,F1,MRR,NDCG@K,Predicted,True
22701,4,0,0.0,0.0,0.0,0.0,0.0,[],"['1a93643f07523ff5715f3271860b85f3169bd6d6', '61225e0d5b906bf9714fa878b5ff9a4a7cb396ee', '8eddf8d9b76ec94a9927bdd8b3430a2b29a4c67b', 'bdd572744f590890b39478dfa043d47113b0452b']"
23063,1,1,1.0,1.0,1.0,1.0,1.0,['e057a853cdb5a1f6fa7bd76a71b60916a220581f'],['e057a853cdb5a1f6fa7bd76a71b60916a220581f']
23881,2,2,0.5,0.5,0.5,1.0,0.6131471927654584,"['7ed57ef51baae598ac4a62b3bb4634a7a6356a4b', '89b009a8c615bee541d32333e4a8613715c87ab7']","['3fd58334df3a7d2579550b2b825f475cc12dea09', '89b009a8c615bee541d32333e4a8613715c87ab7']"
25676,2,0,0.0,0.0,0.0,0.0,0.0,[],"['9e885c01cd6a365b49b61b2895b5b3f5e4159047', 'acb57f3adc9ec9b750d1ee1808df74c15e723ec2']"
25741,3,0,0.0,0.0,0.0,0.0,0.0,[],"['36ba537c6c2e90b13ac3dea7371bcf1b26bb5393', '3f2c5e76c07abaa4552dd9231a16f7596c4f1772', 'b332eeb29018551f79ff4db871feac674eb7df89']"
26418,1,1,1.0,1.0,1.0,1.0,1.0,['305e85cfe051157accf6afa05303eb82bf349538'],['305e85cfe051157accf6afa05303eb82bf349538']
26850,1,1,1.0,1.0,1.0,1.0,1.0,['e6670ce5e79a465e8254fe15cedc14e80c0d3c46'],['e6670ce5e79a465e8254fe15cedc14e80c0d3c46']
26914,1,1,1.0,1.0,1.0,1.0,1.0,['b5a3d696e6e4d6122f898dab1a00aff88d3f0aa7'],['b5a3d696e6e4d6122f898dab1a00aff88d3f0aa7']
27411,3,0,0.0,0.0,0.0,0.0,0.0,[],"['7afebae2d86e752cc1eb1595ae02c1013a65bac1', '9958614868dd44c0be7130624c24ea798b309038', '9a71d38af5fb0ced6583465eceb0de66f1fff6a8']"
27523,2,0,0.0,0.0,0.0,0.0,0.0,[],"['2da54513cfcaa85a3aaaf95370c4ddf69a5233a6', '89e38704d30c32b5a711c09a5bf096a6f45bdd33']"
27628,7,0,0.0,0.0,0.0,0.0,0.0,[],"['056d6d2ebc509938686497e1a0baf8946cdcf136', '2f4c1c63b5ea4c8a09043e7882be209d4ef29f11', '703e9c64c3d067ec35038a511bdc92bc4270aef4', 'b409b822346366e73b01ec4456fd4aacedccbf47', 'ca13eb03b3c3ffdeb328644a7b38a37498260419', 'cf58bb05afd44016e68c1b851cdccc871b24e279', 'd01dc977d0f8a70ff87ebf9311e4d77a27f5d295']"
27670,1,1,0.0,0.0,0.0,0.0,0.0,['4935ba9f10de5de761f5fb80bf1e8b12deeff6f0'],['2e958499e5d9060706d54b2fd99a347e48f3f1db']
27801,2,2,1.0,1.0,1.0,1.0,1.0,"['052202fe5b0fdd91e35095db50080eb85c44657e', 'c29485f28b34e2a5b162f5966b9a5b2d1948580b']","['052202fe5b0fdd91e35095db50080eb85c44657e', 'c29485f28b34e2a5b162f5966b9a5b2d1948580b']"
27906,6,0,0.0,0.0,0.0,0.0,0.0,[],"['14b152ba90920f392c2330e1724d2720b54df972', '1d65705793c37140049b73d6d6c37f815e0a95a6', '32b3dbe7719e3e5112183f658e712760414782b9', '942187f13637a3545c7bd760110e9973f6cf29d0', 'b3bc0c55bdeef89d761bccf1f4625e887fa37d9e', 'f9abc21e4a87d4874b2d71c29f5e8e70921e6754']"
27925,2,2,1.0,1.0,1.0,1.0,1.0,"['562638bfd31182248c6237cfef5fc5516441d4c6', '73b4cfb016fd9c2c5de652db298e566e955e8d75']","['562638bfd31182248c6237cfef5fc5516441d4c6', '73b4cfb016fd9c2c5de652db298e566e955e8d75']"
27978,2,2,0.5,0.5,0.5,1.0,0.6131471927654584,"['0550440c54a43db2f706bec1c403bef9c2124c44', 'cc3a491ff30b5d336da63fbc364c2784d9bfb5ce']","['0550440c54a43db2f706bec1c403bef9c2124c44', '2ddc90a2e8203f4deddf56a894f9f2ee3d49d806']"
28104,1,1,1.0,1.0,1.0,1.0,1.0,['d983272aaf105084cd8e1623623707ab792325b0'],['d983272aaf105084cd8e1623623707ab792325b0']
28152,2,2,0.5,0.5,0.5,1.0,0.6131471927654584,"['8847e91a22df9712b36497f488074fbf479d3011', 'bc7655d7dfeb394a52d4be334794a93cc7b61d08']","['9ace69a3956bcdbe0f9392e89cf936a2ca038202', 'bc7655d7dfeb394a52d4be334794a93cc7b61d08']"
28211,1,1,1.0,1.0,1.0,1.0,1.0,['03813526e6efdd02681e052e45d61299aad0db68'],['03813526e6efdd02681e052e45d61299aad0db68']
28214,3,3,1.0,1.0,1.0,1.0,1.0,"['2593eede8883706c527aa23888e9036795208af2', '2ac062657bbd075550959798418aa07e237eb54a', 'bce3e96a3c7d22e47fbb5eed3e38fd4c2b9bc2f1']","['2593eede8883706c527aa23888e9036795208af2', '2ac062657bbd075550959798418aa07e237eb54a', 'bce3e96a3c7d22e47fbb5eed3e38fd4c2b9bc2f1']"
28236,4,0,0.0,0.0,0.0,0.0,0.0,[],"['52614bbbe26b5c405e5c9aa37cab7179a5cfaa2f', '9d13742d16326118b59d35df4fd4eb0433e466f6', 'af3b93f8fcdd55ce46b148964de85c6652f0acf7', 'dcb2543427f90ccb2dd47b2b8807c02b1ab9d702']"
28370,1,1,1.0,1.0,1.0,1.0,1.0,['97354ee83c208454a5e7b4a026ed2437a9621dfb'],['97354ee83c208454a5e7b4a026ed2437a9621dfb']
