Issue ID,K_true,K_pred,Precision,Recall,F1,MRR,NDCG@K,Predicted,True
145,1,0,0.0,0.0,0.0,0.0,0.0,[],['1d5185c82dc545a8a351d2a606f447501d2f7801']
159,6,0,0.0,0.0,0.0,0.0,0.0,[],"['19e9c93d8b8f86b50e89abd9dc5c22572f715331', '1e41e74b7d2a60cf04fce5ed917b9b9a855cdd1d', '5fbe134b0c5b499540f6b9008007c6db57f648aa', '623bd6156a9449f310c7b3b45aae9e7302c54afe', 'cfee8e6be5919338a6c94f45272428e4a1ba652e', 'f151834f5891e4222e7fe26c17777b9bdb7f4b80']"
169,1,1,1.0,1.0,1.0,1.0,1.0,['fa67a6722c670ffdc1a703e7d1feeda6d8c37938'],['fa67a6722c670ffdc1a703e7d1feeda6d8c37938']
173,1,1,1.0,1.0,1.0,1.0,1.0,['8c6a9f954068e2cb2fd4794e9b5353f08322bc6f'],['8c6a9f954068e2cb2fd4794e9b5353f08322bc6f']
255,1,1,1.0,1.0,1.0,1.0,1.0,['b5fbfea2daa7a0ea371cd36de1abcc3cc1262622'],['b5fbfea2daa7a0ea371cd36de1abcc3cc1262622']
366,1,1,1.0,1.0,1.0,1.0,1.0,['ccb27d166adfc15a3d1446edfa7fd332387912db'],['ccb27d166adfc15a3d1446edfa7fd332387912db']
528,1,1,1.0,1.0,1.0,1.0,1.0,['7c400a24fefc0f498437795f8e0e0909d0eab53c'],['7c400a24fefc0f498437795f8e0e0909d0eab53c']
603,1,1,1.0,1.0,1.0,1.0,1.0,['0de43648b30822ff5ab00f61d6c2492201c061be'],['0de43648b30822ff5ab00f61d6c2492201c061be']
772,1,1,1.0,1.0,1.0,1.0,1.0,['c6249c3f1d2108d8e4ab40a6cc75e7ce77712a24'],['c6249c3f1d2108d8e4ab40a6cc75e7ce77712a24']
1024,5,0,0.0,0.0,0.0,0.0,0.0,[],"['01dc9342b07fb64ecc9353647642232bbd8c24ec', '1ec74b743522e65da60016e75a9e484a8692a0b9', '2b74c3569e937d8e900e7d03cd1e2c550fa735d6', '4842c6a7e9d577b9463d8f32a6ae2e7215207ec7', 'ed60d0e0b13e9cd524d15c84dfada566b5e55ef4']"
1231,4,4,0.5,0.5,0.5,1.0,0.5855700749881525,"['0d3a0f7fef9001b0c2593504d07957fc10ae3414', 'a86efd9f48c0e630c8a5767d127a5aa0f02a309d', 'b80c767a5312e0a3ae59e86783e2d5708d53cb18', 'f4d4bcb56b466e50ddb7d2888f7c092c4689c19a']","['5b634afd337e603ddbe0d554ea6024cf0132282b', 'a86efd9f48c0e630c8a5767d127a5aa0f02a309d', 'b80c767a5312e0a3ae59e86783e2d5708d53cb18', 'dad83fcbea5253ce11eb23caa8f6f04f5fcd8c36']"
1242,5,0,0.0,0.0,0.0,0.0,0.0,[],"['12239b9c1c16709cc0d8e0d48b17f9c0e43c3da4', '1960560ae803f7f3d092099c5663c406ab004f6a', '7ad56471c99dafc4e0db647e14ea287766ced98d', '824b2d3ff0781bdcd3a3075179cb6b7583134fac', '86c580f17d6f987ea761cf45c4e604f189138338']"
1268,3,0,0.0,0.0,0.0,0.0,0.0,[],"['9aceada4f8e0fa9c0a0d9c2e02b5c91e9a58eed3', 'bf662a4f1449bf7c10e0ffbb0456094b38fde9bb', 'eb116fbee9a685158e677f41a4a51c23e6482a3c']"
1304,6,0,0.0,0.0,0.0,0.0,0.0,[],"['1bc6137db8a1fa7db1d798b7051cf39b48ae90df', '2407ed78c1b585886a3fdf3d5cdb42e0d8669050', '5011fbf8a1e7586b6a6632f845175597faf429e4', '70f76bb73ae362244730e0cbec993d9210c46d1d', '9857a492d9f0d1a72657f4682c31a0700c83ab2d', 'ceb2c4083dc8c0db6e9e022f344d67cca88b2639']"
1370,1,1,1.0,1.0,1.0,1.0,1.0,['2eb2c43b7f0d47eccb3287c72e508f8a9e959738'],['2eb2c43b7f0d47eccb3287c72e508f8a9e959738']
1392,7,0,0.0,0.0,0.0,0.0,0.0,[],"['2d1aed64d2681f41d27c7d945e009a72e51e05d2', '5adac5c64d27e3a538c9741f9e9b37da60940ff5', '6eb6a5cf0cb4ded46f54aa457d499a835fdf9208', '87f8c79f679aef109f0fce0fe55745e880948dca', 'ac06e524f3191fc303340ec23bc2149c8f93dcf2', 'b003b29513c8ef9cb95840db0291f5bd45aeb1de', 'e1dcb7f35d773e69749180ed337f7711c817c713']"
1416,1,1,1.0,1.0,1.0,1.0,1.0,['ec013df195df741c0b1570d0457018f1fa85244c'],['ec013df195df741c0b1570d0457018f1fa85244c']
1419,2,0,0.0,0.0,0.0,0.0,0.0,[],"['6e7f8aa792da9f34a7584cd43284cc0f9ce310d6', '8c9ac066f0b5eae1eb5c25f70def302fc2d7e391']"
1428,3,0,0.0,0.0,0.0,0.0,0.0,[],"['6af6c688072092678d44fa6d7d493719e6d753ac', '9999df716c3ceb2557f79e3f97ad5286db8ca94d', '9e85c40fb062c2dd65617e40e5ace74f98383311']"
1431,4,0,0.0,0.0,0.0,0.0,0.0,[],"['3e2b25992331c34f7a210139fdf8c7c5089491ca', '4876d7e0d4cde7bca0e374b8e783bc33b5fc64cf', '9df69ef537e267f32865940f918412e1e9acd69e', 'f6d04031d75777fed2601e680fa5438be479e782']"
1453,1,1,1.0,1.0,1.0,1.0,1.0,['f39def5e9e903ac13eade7fdd9417bcb146cb931'],['f39def5e9e903ac13eade7fdd9417bcb146cb931']
1458,3,0,0.0,0.0,0.0,0.0,0.0,[],"['d7dcc95d4edae880dfccda4779050e8e084227e3', 'f39def5e9e903ac13eade7fdd9417bcb146cb931', 'fd7fb16419ca89e82c29c4c6161dcf32d8e31748']"
1588,1,1,1.0,1.0,1.0,1.0,1.0,['55ab01cd5fdcbe4968da7cf530a4e79d6f3f74ec'],['55ab01cd5fdcbe4968da7cf530a4e79d6f3f74ec']
1711,3,0,0.0,0.0,0.0,0.0,0.0,[],"['0a60c5fc617bf3705b823b0e87f460949f6405a1', '1161a0bcbb3509db4fff5e7d31cca132b684aa3e', '225a7e14d103ad3dc390ea43caf0f3da81804a2e']"
2100,1,1,1.0,1.0,1.0,1.0,1.0,['1d41007ae0fb0ba7baeec93f65e8a4a1a2ee8b7a'],['1d41007ae0fb0ba7baeec93f65e8a4a1a2ee8b7a']
2456,6,0,0.0,0.0,0.0,0.0,0.0,[],"['4896a5f1006a0fe7d0a97d2e50db04bfccd58953', '6ac3438a3c0baf024de304c376d9f27497bedfac', '8f7527d5775b726537e992339f1c16338aa2e32c', 'c749c2215cab3143ba41633536caa0a1dba6a857', 'c7d5c1b70c20c417c5e83103df4df4d29c3ced0d', 'd82b0b052a504bb37f9738de928775ccd97fb5e1']"
2528,4,0,0.0,0.0,0.0,0.0,0.0,[],"['6628301efcc489d4f67893986ff6805428f33b94', '78e47973bae39ec4ee2d6519dd9ad021cda70eff', 'd266c2738f58da9ab6a201d8d470b9a58aaa3723', 'e8eeed201ff0069591275472959effeacb8cd8f7']"
2628,1,1,1.0,1.0,1.0,1.0,1.0,['fc34672a475f515842d5260b20a14465e9e6ffc8'],['fc34672a475f515842d5260b20a14465e9e6ffc8']
2700,2,2,0.5,0.5,0.5,0.5,0.38685280723454163,"['3a2ceb2febd830b4e084ad2ce300b8388acf2574', '63573735f3a4c791cd27b3b4ad35c556bb82d8b1']","['3a2ceb2febd830b4e084ad2ce300b8388acf2574', '473d1c0d0fac6cdd9a017557d44adf0f8da86980']"
2964,2,0,0.0,0.0,0.0,0.0,0.0,[],"['41c97020a9500814066579268bb6ee8e803d1dc1', 'c7b8afaf1f818630bb4b84ebec75da07c27c70be']"
3169,6,0,0.0,0.0,0.0,0.0,0.0,[],"['018ec81297a8cb474a32042054f8471d9cda9904', '15478697c9278d1bd2adec62102114241daec58d', '2484ed5f5ad7907071934a685220c67e451eab77', '294286592e8f41a10892d33fab076679b8673956', '36820762f51f3f3a6ff22ff21bb66856357fa078', 'fbcf9fe92e54694ccbe03735d55d0bebc1e2974c']"
3187,2,0,0.0,0.0,0.0,0.0,0.0,[],"['0fd3668cc30ce90597bbb27c987940939edb815b', '53bfbbee19f6e0d77b9018637b61aa796bb6559a']"
3278,1,1,1.0,1.0,1.0,1.0,1.0,['bd53275ab396025f5064875f18e2a31fe9a7214e'],['bd53275ab396025f5064875f18e2a31fe9a7214e']
3620,2,2,0.5,0.5,0.5,0.5,0.38685280723454163,"['39793bc4d3898e6174aa13f07a68031a42237b05', '7c9afbd50eb2f4dd238bc23236fa947eff0a3e74']","['0c01c27984278040298631323f88a562659e4481', '7c9afbd50eb2f4dd238bc23236fa947eff0a3e74']"
3628,2,0,0.0,0.0,0.0,0.0,0.0,[],"['ad2a0c5cc75fed5a7279af4f21f31379588be6ff', 'fc5c642b2e8866ffe0f6eb063260a8bfe21b5028']"
3746,2,2,1.0,1.0,1.0,1.0,1.0,"['04dd680353c79534ab0c583a5a043ce454ede9a5', '63573735f3a4c791cd27b3b4ad35c556bb82d8b1']","['04dd680353c79534ab0c583a5a043ce454ede9a5', '63573735f3a4c791cd27b3b4ad35c556bb82d8b1']"
3831,2,2,1.0,1.0,1.0,1.0,1.0,"['4f7d4c3498b56855d458385c9e51dfade67e2cc1', 'f777b79e5e3637b4b04e896651ecc61cd0021ac4']","['4f7d4c3498b56855d458385c9e51dfade67e2cc1', 'f777b79e5e3637b4b04e896651ecc61cd0021ac4']"
3874,5,0,0.0,0.0,0.0,0.0,0.0,[],"['b4ff8e50534d933c8e3d5cd62493f964006dd1c9', 'b9223c09e7c188967753c62c8e4836b3522376b6', 'e26a7bf2ddc125662c9270f441a213db55379f36', 'e7330823cbd2413595a4d3076179db70fcccbb83', 'fc0f9012e103d9db7146b725a4a9e22f41b6523d']"
4007,2,0,0.0,0.0,0.0,0.0,0.0,[],"['996e3c3b674be56b616f2a6d33b0f4d5f9da1df7', 'e91b97651826bd0126346ea4826eaa039b788243']"
